,batch_size,clip_grad_norm,data_path,device,exclude_classes,handle_max_length,logging_steps,max_lr,model,num_classes,num_epochs,output_dir,save_path,seed,warmup_steps,weight_decay
73,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/210405,1470,50,0.01
74,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/213925,54794,25,0.0001
75,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/222140,54122,50,0.01
76,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/230527,67236,50,1e-05
77,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/203216,55102,100,0.0001
78,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/213504,72227,150,1e-05
79,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/204201,17899,25,0.001
80,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/232742,62645,100,0.0001
81,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/232540,50987,100,0.0001
82,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/220435,39612,50,0.001
83,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/204013,26983,25,0.001
84,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/204639,41710,50,0.001
85,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/205126,3762,100,0.001
86,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/201744,58986,150,1e-05
87,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/214723,11332,100,0.0001
88,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/202244,73723,25,0.0001
89,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/215216,44166,150,0.0001
90,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/232553,79884,100,0.0001
91,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/222910,86501,100,0.01
92,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/232120,93672,50,0.0001
93,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/205913,29265,25,0.01
94,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/213243,68727,150,1e-05
95,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/223706,53484,25,1e-05
96,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/234211,34966,50,0.001
97,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/212840,85786,100,1e-05
98,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/213503,62108,150,1e-05
99,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/230530,24836,100,1e-05
100,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/233513,79207,25,0.001
101,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/220215,61862,50,0.001
102,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/203954,72120,25,0.001
103,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/221654,34851,25,0.01
104,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/232107,82020,50,0.0001
105,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/212015,39444,25,1e-05
106,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/220347,47423,50,0.001
107,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/202509,15555,50,0.0001
108,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/233024,77039,150,0.0001
109,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/221205,91702,150,0.001
110,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/221021,35956,100,0.001
111,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/211401,14113,150,0.01
112,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,40,../results,../results/20220426/211006,98226,100,0.01
113,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/212757,93782,100,1e-05
114,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/205655,63825,150,0.001
115,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/213741,78219,25,0.0001
116,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/201205,72471,100,1e-05
117,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,30,../results,../results/20220426/212348,36161,50,1e-05
118,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/235849,59123,50,0.01
119,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/211351,96216,150,0.01
120,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/221248,68217,150,0.001
121,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/215757,53765,25,0.001
122,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,40,../results,../results/20220426/215345,46001,150,0.0001
123,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/233126,9884,150,0.0001
124,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/231623,48644,25,0.0001
125,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/211643,16363,150,0.01
126,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/231133,6845,150,1e-05
127,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0002,clinicalbiobert,5,50,../results,../results/20220426/220018,62184,25,0.001
128,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,50,../results,../results/20220426/233214,46226,150,0.0001
129,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,30,../results,../results/20220426/202007,20551,25,0.0001
130,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,40,../results,../results/20220426/235859,50800,50,0.01
131,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/200329,64626,25,1e-05
132,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0001,clinicalbiobert,5,50,../results,../results/20220426/202646,54300,50,0.0001
133,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220426/235410,33669,25,0.01
134,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,50,../results,../results/20220427/032541,99926,150,1e-05
135,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,50,../results,../results/20220427/031122,48466,25,1e-05
136,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,40,../results,../results/20220427/040643,60625,25,0.01
137,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/030735,37452,25,1e-05
138,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,30,../results,../results/20220427/052651,83439,50,0.01
139,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,50,../results,../results/20220427/011908,16437,50,0.01
140,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/005748,90337,50,0.001
141,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/031732,46750,100,1e-05
142,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/015432,17776,50,1e-05
143,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,40,../results,../results/20220427/044135,86210,150,1e-05
144,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,30,../results,../results/20220427/025247,15820,50,0.01
145,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,40,../results,../results/20220427/053406,50309,100,0.01
146,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,30,../results,../results/20220427/022807,32359,25,0.001
147,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,50,../results,../results/20220427/025924,38764,100,0.01
148,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/011229,25365,25,0.01
149,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/034702,13989,25,0.001
150,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/014631,1996,100,0.01
151,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,30,../results,../results/20220427/043508,18729,100,1e-05
152,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/005207,44613,25,0.001
153,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/052951,15587,50,0.01
154,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/053458,30098,100,0.01
155,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,40,../results,../results/20220427/034733,73568,25,0.001
156,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/010634,24148,150,0.001
157,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,30,../results,../results/20220427/003656,75192,50,0.0001
158,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,30,../results,../results/20220427/014802,18289,25,1e-05
159,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,40,../results,../results/20220427/034239,36919,150,0.0001
160,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,50,../results,../results/20220427/014630,31115,150,0.01
161,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/030436,66409,150,0.01
162,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/041148,46892,50,0.01
163,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/021917,33914,100,0.0001
164,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/033710,84252,100,0.0001
165,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,50,../results,../results/20220427/035833,56972,100,0.001
166,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/014936,44357,25,1e-05
167,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,50,../results,../results/20220427/001436,7582,25,1e-05
168,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,40,../results,../results/20220427/033715,74077,100,0.0001
169,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,30,../results,../results/20220427/002239,33385,100,1e-05
170,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,30,../results,../results/20220427/044914,33861,50,0.0001
171,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,50,../results,../results/20220427/020707,35610,150,1e-05
172,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/024404,72925,150,0.001
173,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/020047,58678,100,1e-05
174,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/024924,54819,25,0.01
175,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,50,../results,../results/20220427/004052,55402,50,0.0001
176,16,,../data/dataset.pkl,cuda,unknown,truncate,5,0.0005,clinicalbiobert,5,30,../results,../results/20220427/000328,13603,100,0.01
177,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,30,../results,../results/20220427/051240,95282,100,0.001
178,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/051123,4846,50,0.001
179,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,40,../results,../results/20220427/023809,92114,100,0.001
180,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/044208,36756,150,1e-05
181,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,50,../results,../results/20220427/022131,30397,100,0.0001
182,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,40,../results,../results/20220427/045953,55940,150,0.0001
183,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,40,../results,../results/20220427/045013,22299,50,0.0001
184,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,50,../results,../results/20220427/041302,97903,50,0.01
185,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,30,../results,../results/20220427/001746,98535,50,1e-05
186,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,40,../results,../results/20220427/002240,61819,100,1e-05
187,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/045201,7627,50,0.0001
188,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,30,../results,../results/20220427/004654,58888,150,0.0001
189,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,50,../results,../results/20220427/050613,59255,25,0.001
190,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,50,../results,../results/20220427/002911,89463,150,1e-05
191,16,,../data/dataset.pkl,cuda,unknown,truncate,5,2e-05,clinicalbiobert,5,30,../results,../results/20220427/020311,37857,150,1e-05
192,16,,../data/dataset.pkl,cuda,unknown,truncate,5,5e-05,clinicalbiobert,5,30,../results,../results/20220427/041619,22393,100,0.01
193,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-05,clinicalbiobert,5,30,../results,../results/20220427/003244,62233,25,0.0001
194,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,30,../results,../results/20220427/053143,44851,100,0.01
195,16,,../data/dataset.pkl,cuda,unknown,truncate,5,1e-06,clinicalbiobert,5,40,../results,../results/20220427/043122,10271,50,1e-05
